EntryID,cluster_id
P20536,unique
O73864,unique
O95231,unique
A0A0B4J1F4,unique
P54366,unique
P33681,unique
P77596,unique
Q16787,unique
Q59VP0,unique
P13508,unique
Q96S79,unique
Q9VSA3,unique
O94652,unique
P35669,unique
Q5MNZ6,unique
Q9ET09,unique
E7EZG2,unique
Q7ZT11,unique
Q96C12,unique
P05179,P08683
P41216,unique
Q9VX31,unique
P04632,unique
P04021,unique
Q86KP5,unique
O75908,unique
P82343,unique
P85298,unique
P06846,unique
O48573,unique
Q10MX2,unique
P08553,unique
Q6ENB0,unique
P08593,unique
Q8I9B4,unique
Q8R3L8,unique
Q41931,unique
Q8L8Z8,O23419
O14277,Q6FSH6
P69913,unique
P43688,unique
Q02338,unique
F4JUL9,F4JUL8
P0A6L0,unique
D3ZEF4,unique
Q9BTE1,unique
Q8IWZ5,unique
P36554,unique
F4IAT2,unique
Q6DUW9,unique
Q9CQG9,unique
P07199,unique
P63096,W5U9Q0
P04911,F4KCF4
Q9JI93,unique
Q9W328,unique
Q9R172,P07207
Q6B959,unique
Q9DG12,P41739
P16615,G5EEK8
Q02887,unique
Q8ILW9,A5A3E0
P0DM85,unique
O13867,unique
Q80ZG2,unique
P78329,P33274
Q8K4I3,unique
Q9GZQ8,Q9BXW4
Q9NQS1,unique
A0A1Z2R986,unique
Q8R4S0,unique
Q5T8D3,unique
Q9FJW4,unique
Q8JZZ0,unique
P32489,unique
Q9NZH8,unique
Q5QGZ8,unique
P47863,A0A5F9ZHR4
Q9NS68,unique
Q9Z108,Q6JPI2
P77366,unique
Q8NFU3,unique
Q8S9L6,unique
Q9Y2K2,unique
Q8NF86,unique
A2ACG1,unique
Q7SY54,unique
P91454,unique
O76745,unique
Q9LPW0,P12859
Q9JJG9,unique
Q6P9Q6,unique
Q6AZY7,unique
P77044,unique
Q1EBV7,unique
A0A193H396,P31107
P57075,unique
O22779,unique
P57790,unique
Q9Z288,unique
P0C8Q8,unique
P42752,unique
P13982,unique
Q07699,B3F0A3
Q96EY9,unique
P13236,Q16627
Q12415,unique
Q3E8Y7,unique
P00358,Q64467
Q54WU6,unique
O14313,unique
O74767,unique
Q9DBH5,unique
Q9VCC0,unique
P01096,unique
Q8BUN5,O96660
P29017,unique
Q03337,unique
P07582,unique
Q96R06,unique
P39994,unique
Q9Z0X4,unique
O54943,unique
O50456,unique
Q6NPT7,unique
Q9UKR3,Q9D140
P13231,unique
Q6P2D0,unique
Q6S001,unique
Q52T38,unique
Q01249,unique
P98175,unique
P29276,unique
Q4QAU9,unique
Q8IYX1,unique
P33136,unique
P25090,P25089
Q3UZZ6,F1RD72
Q5AIA1,unique
Q9M1B4,unique
P31385,unique
Q6ENJ3,unique
P38286,unique
P26373,P41127
Q8IYU4,unique
O51147,unique
Q8CIR4,Q96QT4
Q924A0,A0A8I6A9A2
P32139,unique
O75643,unique
Q8NEY3,unique
O14275,unique
Q9WVI9,unique
P22241,unique
